time,latitude,longitude,z
2,35.75,71.50,5815.7
2,35.75,72.25,5816.3
2,35.75,73.25,5813.4
2,35.75,263.00,5888.2
2,35.50,73.75,5813.3
2,35.50,74.75,5811.4
2,35.50,94.50,5781.3
2,35.50,273.00,5889.7
2,35.25,6.25,5961.5
2,35.25,68.50,5833.2
2,35.25,75.75,5810.7
2,35.25,76.25,5810.1
2,35.25,84.00,5781.1
2,35.25,259.00,5900.7
2,35.25,275.00,5889.5
2,35.00,4.75,5962.0
2,35.00,70.00,5825.8
2,35.00,73.00,5812.8
2,34.75,71.50,5817.6
2,34.75,82.50,5782.2
2,34.75,86.00,5775.9
2,34.75,87.75,5778.8
2,34.50,75.00,5811.5
2,34.50,89.50,5778.3
2,34.50,97.50,5797.1
2,34.50,266.25,5886.6
2,34.25,74.00,5812.1
2,34.25,76.00,5812.0
2,34.25,76.75,5812.1
2,34.25,84.00,5779.7
2,34.25,86.50,5776.7
2,34.00,69.25,5834.5
2,33.75,70.75,5822.0
2,33.75,75.50,5813.3
2,33.75,90.00,5778.9
2,33.50,66.00,5850.1
2,33.50,67.75,5848.3
2,33.50,74.50,5817.9
2,33.50,76.00,5813.1
2,33.50,97.25,5801.6
2,33.25,50.50,5954.2
2,33.25,65.00,5852.8
2,33.25,90.75,5780.2
2,33.00,52.25,5947.9
2,33.00,64.25,5860.5
2,33.00,67.00,5847.8
2,32.75,254.50,5905.4
2,32.50,73.00,5825.7
2,32.50,77.00,5816.2
2,32.25,37.00,5942.2
2,32.25,54.25,5942.0
2,32.25,85.00,5786.5
2,32.00,256.25,5907.2
2,31.75,53.25,5949.7
2,31.75,77.75,5817.9
2,31.50,35.50,5943.2
2,31.50,78.50,5818.7
2,31.25,34.75,5941.5
2,31.25,50.25,5946.7
2,31.25,52.25,5958.5
2,31.25,68.00,5853.9
2,31.25,80.00,5819.1
2,31.00,34.25,5941.2
2,31.00,54.00,5947.7
2,30.75,35.25,5941.5
2,30.75,50.75,5946.5
2,30.75,52.75,5958.2
2,30.75,73.75,5835.5
2,30.75,256.00,5906.5
2,30.50,33.00,5940.4
2,30.50,35.25,5941.5
2,30.50,54.75,5947.0
2,30.25,257.00,5905.6
2,30.00,35.75,5942.2
2,30.00,80.00,5828.9
2,30.00,254.75,5904.9
2,30.00,255.50,5906.1
2,29.75,35.00,5940.8
2,29.75,81.00,5828.3
2,29.75,93.25,5823.7
2,29.75,264.25,5896.1
2,29.50,31.50,5939.3
2,29.50,32.25,5940.2
2,29.50,99.25,5824.4
2,29.50,253.50,5906.2
2,29.50,260.00,5900.6
2,29.25,30.75,5938.6
2,29.25,54.50,5947.8
2,29.25,68.25,5857.8
2,29.25,79.75,5833.7
2,29.25,102.00,5828.4
2,29.00,275.25,5923.2
2,29.00,281.50,5922.0
2,29.00,281.75,5922.0
2,29.00,319.00,5908.7
2,28.75,34.75,5939.2
2,28.75,56.00,5945.1
2,28.75,58.00,5924.9
2,28.75,83.00,5839.7
2,28.75,88.00,5823.9
2,28.75,92.25,5828.6
2,28.75,93.75,5830.6
2,28.75,252.00,5905.2
2,28.75,285.00,5924.6
2,28.75,319.00,5908.7
2,28.50,34.00,5939.8
2,28.50,35.50,5941.3
2,28.50,73.75,5851.0
2,28.50,95.25,5844.5
2,28.50,100.75,5830.8
2,28.50,258.00,5902.9
2,28.25,1.00,5956.1
2,28.25,42.00,5957.0
2,28.25,84.00,5844.4
2,28.25,253.75,5907.5
2,28.25,272.50,5918.9
2,28.25,294.25,5920.1
2,28.25,294.50,5920.1
2,28.00,85.50,5845.1
2,28.00,169.25,5869.2
2,28.00,272.25,5918.9
2,28.00,291.25,5920.6
2,27.75,255.25,5904.0
2,27.75,278.25,5923.6
2,27.75,311.50,5900.7
2,27.50,255.25,5904.0
2,27.50,269.25,5916.0
2,27.50,296.25,5918.5
2,27.50,311.25,5900.7
2,27.25,37.25,5951.3
2,27.25,269.25,5916.0
2,27.00,31.00,5936.4
2,27.00,31.75,5936.4
2,27.00,58.00,5918.4
